kab_kota,latitude,longitude,Jumlah_Murid_SMA,PDRB_harga_konstan
Kota Magelang,-7.47655570924917,110.22011135852502,-1.3190377866849672,-0.8499985627783072
Wonogiri,-7.919332306239032,110.99919238318206,-0.2819568018260151,-0.2776804003979206
Pati,-6.743389875509411,111.04228325660206,0.372289375227609,0.12316752943761958
Kota Salatiga,-7.337679705713819,110.49837395593222,-1.5154949020355233,-0.7217246168404078
Blora,-7.074486341364218,111.38743859788283,-0.6173266909039233,-0.43151933117821406
Kota Tegal,-6.869175151905993,109.1157470004714,-1.2352869455327247,-0.6673111622903719
Kudus,-6.790279547383467,110.86990516203842,-0.43058247398021376,1.4572368129583373
Karanganyar,-7.614161714823202,111.01925452631464,-0.28580530874986,-0.044520072724611115
Demak,-6.910803353420304,110.6339996536016,0.6284899790149946,-0.3734227555212396
Kebumen,-7.654989384772902,109.6173560982474,0.07705391549836853,-0.3102594317505363
Temanggung,-7.257714832919591,110.13630652023056,-1.0232525402523203,-0.5083128302315828
Cilacap,-7.48902478992265,108.8898888055918,1.1755277489043694,2.470270955599576
Boyolali,-7.416567276000578,110.652484762646,0.5253133410090589,-0.1805237611410199
Purworejo,-7.700407918484394,109.96612653976445,-0.6657079208036871,-0.5775310878562423
Jepara,-6.549103977605224,110.76814383707632,0.1809636024421794,-0.24663987380357003
Grobogan,-7.117657273666988,110.92717974133888,0.9590950499967139,-0.31933788734501173
Pemalang,-7.036848556885309,109.39515996857618,0.043150402121640105,-0.37764141897008263
Kota Pekalongan,-6.893409948116603,109.6771549893181,-1.6478102353219986,-0.8074617442363573
Kota Surakarta,-7.557894806635609,110.82314485197368,1.1931209234133744,0.321020224566439
Rembang,-6.775146217970921,111.46151893916876,-0.7459767795010225,-0.562166568232891
Tegal,-7.028805332100838,109.15850766251488,-0.1820788840405179,-0.12123669058221487
Semarang,-7.270928485949366,110.47351532950692,0.20057266153034126,0.2870202393892655
Banjarnegara,-7.351360606635531,109.65703624625398,-0.8557508579478351,-0.5021365798314652
Batang,-7.021021538262818,109.86159432758436,-1.1484206463945124,-0.4861298249282128
Purbalingga,-7.323247798893909,109.40720551627096,-0.21195062825893268,-0.41926880489052454
Wonosobo,-7.416333553205933,109.90735180502188,-0.565646740783721,-0.5641876309961941
Klaten,-7.685830745373379,110.61945331067824,0.7950753501471358,0.016218790992597678
Kota Semarang,-7.023904499435889,110.39152196866944,3.297521161818631,4.5770399079619315
Banyumas,-7.455537569160524,109.17579816452997,1.521710109815937,0.48869240337547687
Kendal,-7.038718780433447,110.15733776788888,0.2936698766404928,0.133754881319582
Sragen,-7.385353425630805,110.9741452410344,-0.27425978797832545,-0.036306474674064955
Sukoharjo,-7.680860488144914,110.83483711037996,0.45090887381472516,-0.02859255296374929
Pekalongan,-7.057032028152367,109.6205018635568,-0.6448160260742436,-0.46044213820432806
Magelang,-7.501759048505197,110.24721175009968,0.5179828516303068,-0.1848325925065816
Brebes,-7.06284467393083,108.92953056318582,1.41871673404447,0.18476304927487675
